"","x"
"242","Pentanemus quinquarius"
"243","Aspius aspius"
"244","Salmo salar"
"245","Platichthys flesus"
"246","Coregonus lavaretus"
"247","Abramis brama"
"248","Ilisha africana"
"249","Elops lacerta"
"250","Rutilus rutilus"
"251","Beryx decadactylus"
"252","Oxynotus centrina"
"253","Diplodus annularis"
"254","Pagellus acarne"
"255","Labrus bergylta"
"256","Pollicipes pollicipes"
"257","Panulirus argus"
"258","Pharus legumen"
"259","Sepia officinalis"
"260","Aphanopus carbo"
"261","Cephalopholis fulva"
"262","Lophius budegassa"
"263","Helicolenus dactylopterus"
"264","Lutjanus griseus"
"265","Mytilus edulis"
"266","Scophthalmus rhombus"
"267","Dentex dentex"
"268","Myliobatis aquila"
"269","Cerastoderma edule"
"270","Octopus vulgaris"
"271","Pagellus erythrinus"
"272","Diplodus vulgaris"
"273","Epinephelus marginatus"
"274","Cancer pagurus"
"275","Conger conger"
"276","Homarus gammarus"
"277","Dicentrarchus labrax"
"278","Sparus aurata"
"279","Trachinus draco"
"280","Carcinus maenas"
"281","Balistes carolinensis"
"282","Ruditapes decussatus"
"283","Eledone cirrhosa"
"284","Zeus faber"
"285","Centrophorus squamosus"
"286","Sardinella maderensis"
"287","Scyllarides latus"
"288","Cynoscion acoupa"
"289","Illex illecebrosus"
"290","Pontinus kuhlii"
"291","Ruvettus pretiosus"
"292","Crassostrea gigas"
"293","Conger orbignyanus"
"294","Sparisoma cretense"
"295","Umbrina canosai"
"296","Venerupis pullastra"
"297","Aspitrigla cuculus"
"298","Pseudopercis semifasciata"
"299","Plectorhinchus mediterraneus"
"300","Sarpa salpa"
"301","Solea lascaris"
"302","Lithognathus mormyrus"
"303","Raja circularis"
"304","Plesiopenaeus edwardsianus"
"305","Petromyzon marinus"
"306","Isurus oxyrinchus"
"307","Xiphopenaeus kroyeri"
"308","Lepidopus caudatus"
"309","Zenopsis conchifer"
"310","Opisthonema oglinum"
"311","Callista chione"
"312","Spisula solida"
"313","Penaeus notialis"
"314","Maja squinado"
"315","Gymnura altavela"
"316","Conodon nobilis"
"317","Mustelus asterias"
"318","Chamelea gallina"
"319","Mullus surmuletus"
"320","Alopias superciliosus"
"321","Alosa fallax"
"322","Necora puber"
"323","Isopisthus parvipinnis"
"324","Dicologlossa cuneata"
"325","Epinephelus aeneus"
"326","Diplodus sargus"
"327","Lophius gastrophysus"
"328","Polyprion americanus"
"329","Lutjanus synagris"
"330","Epinephelus mystacinus"
"331","Lutjanus analis"
"332","Epinephelus guttatus"
"333","Lutjanus vivanus"
"334","Amphichthys cryptocentrus"
"335","Percophis brasiliensis"
"336","Thenus orientalis"
"337","Argyrops spinifer"
"338","Lutjanus malabaricus"
"339","Brevoortia aurea"
"340","Acanthopagrus latus"
"341","Sardinella brasiliensis"
"342","Callinectes danae"
"343","Alosa pontica"
"344","Cynoscion virescens"
"345","Diapterus auratus"
"346","Cynoscion jamaicensis"
"347","Macrodon ancylodon"
"348","Clupeonella cultriventris"
"349","Paralithodes brevipes"
"350","Oncorhynchus tshawytscha"
"351","Oncorhynchus keta"
"352","Oncorhynchus kisutch"
"353","Limanda limanda"
"354","Pandalus hypsinotus"
"355","Osmerus eperlanus"
"356","Lithodes aequispina"
"357","Erimacrus isenbeckii"
"358","Pandalus kessleri"
"359","Todarodes pacificus"
"360","Atheresthes evermanni"
"361","Dentex macrophthalmus"
"362","Cyclopterus lumpus"
"363","Oncorhynchus masou"
"364","Pleurogrammus azonus"
"365","Penaeus brasiliensis"
"366","Oncorhynchus gorbuscha"
"367","Osmerus mordax"
"368","Sphyrna lewini"
"369","Berryteuthis magister"
"370","Pelecus cultratus"
"371","Oncorhynchus nerka"
"372","Larimus breviceps"
"373","Gasterosteus aculeatus"
"374","Cynoscion leiarchus"
"375","Patinopecten yessoensis"
"376","Lutjanus purpureus"
"377","Jasus tristani"
"378","Cynoscion guatucupa"
"379","Megalops atlanticus"
"380","Tivela mactroides"
"381","Lutjanus buccanella"
"382","Micropogonias furnieri"
"383","Epinephelus areolatus"
"384","Scolopsis taeniata"
"385","Plectorhinchus gaterinus"
"386","Scarus ghobban"
"387","Naso unicornis"
"388","Valamugil seheli"
"389","Epinephelus fuscoguttatus"
"390","Epinephelus chlorostigma"
"391","Epinephelus morrhua"
"392","Lutjanus kasmira"
"393","Gerres oyena"
"394","Cephalopholis miniata"
"395","Lutjanus quinquelineatus"
"396","Arius thalassinus"
"397","Acanthopagrus berda"
"398","Epinephelus tauvina"
"399","Bolbometopon muricatum"
"400","Penaeus semisulcatus"
"401","Rhabdosargus haffara"
"402","Lutjanus gibbus"
"403","Monotaxis grandoculis"
"404","Crenidens crenidens"
"405","Bothus pantherinus"
"406","Plectorhinchus schotaf"
"407","Lethrinus obsoletus"
"408","Diagramma pictum"
"409","Cephalopholis argus"
"410","Lethrinus lentjan"
"411","Aethaloperca rogaa"
"412","Plectropomus pessuliferus"
"413","Aphareus rutilans"
"414","Sargocentron spiniferum"
"415","Himantura gerrardi"
"416","Pomadasys argenteus"
"417","Sillago sihama"
"418","Lethrinus mahsena"
"419","Gerres oblongus"
"420","Epinephelus polylepis"
"421","Lethrinus microdon"
"422","Lethrinus borbonicus"
"423","Sparidentex hasta"
"424","Acanthurus sohal"
"425","Metapenaeus monoceros"
"426","Grammoplites suppositus"
"427","Plectropomus areolatus"
"428","Epinephelus summana"
"429","Lethrinus harak"
"430","Plectorhinchus pictus"
"431","Lutjanus bohar"
"432","Epinephelus multinotatus"
"433","Chirocentrus nudus"
"434","Variola louti"
"435","Pomacanthus maculosus"
"436","Cephalopholis hemistiktos"
"437","Lethrinus xanthochilus"
"438","Mulloidichthys flavolineatus"
"439","Lethrinus atlanticus"
"440","Brotula barbata"
"441","Brachydeuterus auritus"
"442","Spondyliosoma cantharus"
"443","Pseudotolithus elongatus"
"444","Pteroscion peli"
"445","Ethmalosa fimbriata"
"446","Pseudotolithus senegalensis"
"447","Gerres nigri"
"448","Centrophorus granulosus"
"449","Pagellus bellottii"
"450","Dicentrarchus punctatus"
"451","Pseudupeneus prayensis"
"452","Holothuria nobilis"
"453","Thelenota ananas"
"454","Holothuria fuscogilva"
"455","Epinephelus goreensis"
"456","Pseudotolithus senegallus"
"457","Solea solea"
"458","Squilla mantis"
"459","Cymatoceps nasutus"
"460","Umbrina canariensis"
"461","Loligo reynaudii"
"462","Chelidonichthys capensis"
"463","Jasus lalandii"
"464","Argyrozona argyrozona"
"465","Atractoscion aequidens"
"466","Genypterus capensis"
"467","Haliporoides triarthrus"
"468","Austroglossus pectoralis"
"469","Palinurus delagoae"
"470","Pterogymnus laniarius"
"471","Petrus rupestris"
"472","Cheimerius nufar"
"473","Mustelus mustelus"
"474","Thyrsites atun"
"475","Engraulis capensis"
"476","Sardinops ocellatus"
"477","Argyrosomus hololepidotus"
"478","Palinurus gilchristi"
"479","Alopias vulpinus"
"480","Rhabdosargus globiceps"
"481","Etrumeus whiteheadi"
"482","Illex argentinus"
"483","Galeus melastomus"
"484","Pagellus bogaraveo"
"485","Penaeus kerathurus"
"486","Cottoperca gobio"
"487","Serranus cabrilla"
"488","Littorina littorea"
"489","Palaemon serratus"
"490","Crangon crangon"
"491","Palinurus elephas"
"492","Lophius vomerinus"
"493","Lepidocybium flavobrunneum"
"494","Ostrea edulis"
"495","Todarodes sagittatus"
"496","Dactylopterus volitans"
"497","Aristaeomorpha foliacea"
"498","Pecten maximus"
"499","Liza aurata"
"500","Microstomus kitt"
"501","Patagonotothen ramsayi"
"502","Geryon longipes"
"503","Muraena helena"
"504","Carcinus aestuarii"
"505","Liza saliens"
"506","Chimaera monstrosa"
"507","Cepola macrophthalma"
"508","Mullus barbatus"
"509","Oblada melanura"
"510","Galeorhinus galeus"
"511","Etmopterus spinax"
"512","Carcharhinus longimanus"
"513","Carcharhinus falciformis"
"514","Anarhichas lupus"
"515","Eutrigla gurnardus"
"516","Coregonus albula"
"517","Acanthopagrus schlegeli"
"518","Atrobucca nibe"
"519","Clupanodon thrissa"
"520","Muraenesox cinereus"
"521","Nemipterus virgatus"
"522","Ibacus ciliatus"
"523","Penaeus japonicus"
"524","Panulirus longipes"
"525","Psenopsis anomala"
"526","Priacanthus macracanthus"
"527","Penaeus penicillatus"
"528","Pennahia argentata"
"529","Pagrus auratus"
"530","Trachypenaeus curvirostris"
"531","Larimichthys polyactis"
"532","Psettodes erumei"
"533","Sepioteuthis lessoniana"
"534","Anadara granosa"
"535","Penaeus latisulcatus"
"536","Apsilus fuscus"
"537","Carcharhinus limbatus"
"538","Spicara maena"
"539","Umbrina cirrosa"
"540","Mytilus galloprovincialis"
"541","Pomadasys jubelini"
"542","Nematopalaemon hastatus"
"543","Mugil soiuy"
"544","Raja clavata"
"545","Alosa pseudoharengus"
"546","Crassostrea virginica"
"547","Alosa sapidissima"
"548","Saxidomus giganteus"
"549","Cancer magister"
"550","Chlamys islandica"
"551","Acanthopagrus bifasciatus"
"552","Lophius piscatorius"
"553","Mercenaria mercenaria"
"554","Panopea abrupta"
"555","Galatheidae"
"556","Chaceon affinis"
"557","Lamna nasus"
"558","Aequipecten opercularis"
"559","Mya arenaria"
"560","Buccinum undatum"
"561","Conger oceanicus"
"562","Ensis directus"
"563","Argopecten irradians"
"564","Cancer irroratus"
"565","Spisula polynyma"
"566","Clinocardium nuttallii"
"567","Hyperoglyphe bythites"
"568","Pogonias cromis"
"569","Menippe mercenaria"
"570","Anadara ovalis"
"571","Upogebia pugettensis"
"572","Artemia salina"
"573","Paralichthys californicus"
"574","Sardinops caeruleus"
"575","Semicossyphus pulcher"
"576","Engraulis mordax"
"577","Tautogolabrus adspersus"
"578","Pleuronectes vetulus"
"579","Stereolepis gigas"
"580","Chaceon fenneri"
"581","Aprion virescens"
"582","Caulolatilus microps"
"583","Menticirrhus littoralis"
"584","Brevoortia patronus"
"585","Limulus polyphemus"
"586","Cancer borealis"
"587","Elops saurus"
"588","Penaeus aztecus"
"589","Menticirrhus saxatilis"
"590","Penaeus setiferus"
"591","Pandalus jordani"
"592","Caulolatilus princeps"
"593","Loligo opalescens"
"594","Protothaca staminea"
"595","Siliqua patula"
"596","Cancer productus"
"597","Sicyonia ingentis"
"598","Psettichthys melanostictus"
"599","Citharichthys sordidus"
"600","Chaceon quinquedens"
"601","Sciaenops ocellatus"
"602","Sicyonia brevirostris"
"603","Pleoticus robustus"
"604","Cynoscion arenarius"
"605","Mycteroperca phenax"
"606","Archosargus probatocephalus"
"607","Leiostomus xanthurus"
"608","Cynoscion nebulosus"
"609","Morone saxatilis"
"610","Tautoga onitis"
"611","Epinephelus nigritus"
"612","Patinopecten caurinus"
"613","Genyonemus lineatus"
"614","Acipenser transmontanus"
"615","Atractoscion nobilis"
"616","Squatina argentina"
"617","Cheilodactylus bergi"
"618","Mustelus schmitti"
"619","Chaceon notialis"
"620","Cynoscion striatus"
"621","Cetengraulis edentulus"
"622","Centropomus undecimalis"
"623","Mugil liza"
"624","Perna perna"
"625","Panulirus homarus"
"626","Aplodactylus punctatus"
"627","Genypterus maculatus"
"628","Pleuroncodes monodon"
"629","Ostrea chilensis"
"630","Haliporoides diomedeae"
"631","Mytilus chilensis"
"632","Pinguipes chilensis"
"633","Loxechinus albus"
"634","Semele solida"
"635","Choromytilus chorus"
"636","Sprattus fuegensis"
"637","Tawera gayi"
"638","Austromegabalanus psittacus"
"639","Homalaspis plana"
"640","Jasus frontalis"
"641","Mesodesma donacium"
"642","Cancer edwardsii"
"643","Normanichthys crockeri"
"644","Prolatilus jugularis"
"645","Eleginops maclovinus"
"646","Callorhinchus callorynchus"
"647","Genypterus chilensis"
"648","Paralomis granulosa"
"649","Lithodes santolla"
"650","Protothaca thaca"
"651","Acetes japonicus"
"652","Ilisha elongata"
"653","Penaeus chinensis"
"654","Portunus trituberculatus"
"655","Sardinops melanostictus"
"656","Larimichthys croceus"
"657","Miichthys miiuy"
"658","Ammodytes personatus"
"659","Chelon haematocheilus"
"660","Ariomma indica"
"661","Dussumieria elopsoides"
"662","Solenocera agassizii"
"663","Xiphopenaeus riveti"
"664","Penaeus occidentalis"
"665","Lutjanus argentiventris"
"666","Aristeus varidens"
"667","Austroglossus microlepis"
"668","Penaeus californiensis"
"669","Epinephelus striatus"
"670","Penaeus duorarum"
"671","Zidona dufresnei"
"672","Loligo vulgaris"
"673","Albula vulpes"
"674","Mullus argentinae"
"675","Pleoticus muelleri"
"676","Acanthistius brasilianus"
"677","Artemesia longinaris"
"678","Zoarces viviparus"
"679","Chelidonichthys lucerna"
"680","Ginglymostoma cirratum"
"681","Anchoa nasus"
"682","Fistularia corneta"
"683","Seriolella porosa"
"684","Encrasicholina punctifer"
"685","Pomadasys stridens"
"686","Penaeus vannamei"
"687","Leuciscus idus"
"688","Vimba vimba"
"689","Zygochlamys patagonica"
"690","Herklotsichthys quadrimaculat."
"691","Raja batis"
"692","Hexanchus griseus"
"693","Illex coindetii"
"694","Glycymeris glycymeris"
"695","Dasyatis pastinaca"
"696","Raja naevus"
"697","Diplodus argenteus"
"698","Raja oxyrinchus"
"699","Scyliorhinus stellaris"
"700","Palinurus mauritanicus"
"701","Solea senegalensis"
"702","Raja fullonica"
"703","Paracentrotus lividus"
"704","Chelidonichthys lastoviza"
"705","Haliotis tuberculata"
"706","Promethichthys prometheus"
"707","Jasus paulensis"
"708","Parapenaeopsis atlantica"
"709","Panulirus cygnus"
"710","Haliotis rubra"
"711","Chelidonichthys kumu"
"712","Tinca tinca"
"713","Dentex angolensis"
"714","Dentex congoensis"
"715","Bathyraja eatonii"
"716","Salvelinus alpinus"
"717","Callorhinchus milii"
"718","Jasus verreauxi"
"719","Malacanthus plumieri"
"720","Notothenia squamifrons"
"721","Mustelus antarcticus"
"722","Nematopalaemon schmitti"
"723","Pterygotrigla polyommata"
"724","Raja radiata"
"725","Tenualosa ilisha"
"726","Sardinella lemuru"
"727","Zenopsis nebulosus"
"728","Cephalopholis boenak"
"729","Trochus niloticus"
"730","Sardinella gibbosa"
"731","Saurida tumbil"
"732","Epinephelus merra"
"733","Cromileptes altivelis"
"734","Cheilinus undulatus"
"735","Plectropomus leopardus"
"736","Pristidae"
"737","Amblygaster sirm"
"738","Tenualosa toli"
"739","Rhynchobatus australiae"
"740","Platycephalus indicus"
"741","Pennahia anea"
"742","Girella tricuspidata"
"743","Rhynchobatus djiddensis"
"744","Scarus persicus"
"745","Nemipterus japonicus"
"746","Pomadasys kaakan"
"747","Lutjanus johnii"
"748","Liza klunzingeri"
"749","Carcharhinus sorrah"
"750","Otolithes ruber"
"751","Capros aper"
"752","Paphies australis"
"753","Saurida undosquamis"
"754","Arripis georgianus"
"755","Pecten jacobaeus"
"756","Xyrichtys novacula"
"757","Uranoscopus scaber"
"758","Aphia minuta"
"759","Glossanodon semifasciatus"
"760","Konosirus punctatus"
"761","Haliotis gigantea"
"762","Turbo cornutus"
"763","Ruditapes philippinarum"
"764","Arctoscopus japonicus"
"765","Jasus novaehollandiae"
"766","Stichopus japonicus"
"767","Lateolabrax japonicus"
"768","Ommastrephes bartrami"
"769","Chionoecetes japonicus"
"770","Channichthys rhinoceratus"
"771","Nototodarus sloanii"
"772","Chaceon maritae"
"773","Nematalosa nasus"
"774","Pseudocardium sybillae"
"775","Meretrix lusoria"
"776","Sardinella zunasi"
"777","Mytilus coruscus"
"778","Pelates quadrilineatus"
"779","Metapenaeus joyneri"
"780","Stephanolepis cirrhifer"
"781","Conger myriaster"
"782","Pseudopleuronectes herzenst."
"783","Plectorhinchus sordidus"
"784","Lethrinus nebulosus"
"785","Penaeus stylirostris"
"786","Joturus pichardi"
"787","Lutjanus cyanopterus"
"788","Lachnolaimus maximus"
"789","Hoplopagrus guentherii"
"790","Octopus maya"
"791","Argopecten ventricosus"
"792","Lutjanus peru"
"793","Dasyatis americana"
"794","Lutjanus guttatus"
"795","Galeocerdo cuvier"
"796","Haemulon plumierii"
"797","Mugil curema"
"798","Metanephrops mozambicus"
"799","Acetes erythraeus"
"800","Argentina sphyraena"
"801","Sardinops neopilchardus"
"802","Centriscops humerosus"
"803","Diastobranchus capensis"
"804","Eptatretus cirrhatus"
"805","Emmelichthys nitidus"
"806","Carcharhinus brachyurus"
"807","Hydrolagus novaezealandiae"
"808","Zygochlamys delicatula"
"809","Cephaloscyllium isabellum"
"810","Paristiopterus labiosus"
"811","Cyttus traversi"
"812","Dalatias licha"
"813","Tragulichthys jaculiferus"
"814","Parapercis colias"
"815","Ostrea lutaria"
"816","Pecten novaezelandiae"
"817","Dipturus innominatus"
"818","Lepidoperca pulchella"
"819","Pseudopentaceros richardsoni"
"820","Caprodon longimanus"
"821","Centroberyx affinis"
"822","Plagiogeneion rubiginosum"
"823","Sphyrna zygaena"
"824","Mustelus lenticulatus"
"825","Chione stutchburyi"
"826","Parika scaber"
"827","Seriolella caerulea"
"828","Panulirus gracilis"
"829","Mithrax armatus"
"830","Cynoponticus coniceps"
"831","Ctenolabrus rupestris"
"832","Argentina silus"
"833","Anarhichas denticulatus"
"834","Rachycentron canadum"
"835","Rastrelliger kanagurta"
"836","Parastromateus niger"
"837","Coryphaena hippurus"
"838","Lactarius lactarius"
"839","Megalaspis cordyla"
"840","Ablennes hians"
"841","Caranx ignobilis"
"842","Gnathanodon speciosus"
"843","Carangoides malabaricus"
"844","Caranx sexfasciatus"
"845","Caranx melampygus"
"846","Scomberoides lysan"
"847","Sphyraena barracuda"
"848","Tylosurus crocodilus"
"849","Decapterus russelli"
"850","Scomberoides tol"
"851","Sphyraena obtusata"
"852","Carangoides bajad"
"853","Sphyraena jello"
"854","Alepes djedaba"
"855","Pampus argenteus"
"856","Trachinotus blochii"
"857","Scomberoides commersonnianus"
"858","Carangoides fulvoguttatus"
"859","Atule mate"
"860","Trachinotus mookalee"
"861","Selene dorsalis"
"862","Chloroscombrus chrysurus"
"863","Lichia amia"
"864","Brama brama"
"865","Stromateus fiatola"
"866","Caranx rhonchus"
"867","Caranx hippos"
"868","Elagatis bipinnulata"
"869","Alectis alexandrinus"
"870","Belone belone"
"871","Trachurus mediterraneus"
"872","Atherina boyeri"
"873","Scomberesox saurus"
"874","Sphyraena sphyraena"
"875","Naucrates ductor"
"876","Selar crumenophthalmus"
"877","Rastrelliger brachysoma"
"878","Seriolina nigrofasciata"
"879","Selaroides leptolepis"
"880","Trachurus symmetricus"
"881","Lampris guttatus"
"882","Seriola lalandi"
"883","Taractichthys steindachneri"
"884","Odontesthes regia"
"885","Brama australis"
"886","Chloroscombrus orqueta"
"887","Selene peruviana"
"888","Decapterus macrosoma"
"889","Menidia menidia"
"890","Peprilus paru"
"891","Trachipterus arcticus"
"892","Caranx ruber"
"893","Seriola rivoliana"
"894","Hemiramphus brasiliensis"
"895","Hemiramphus balao"
"896","Caranx crysos"
"897","Trachinotus carolinus"
"898","Selene setapinnis"
"899","Trachurus lathami"
"900","Parona signata"
"901","Stromateus brasiliensis"
"902","Trachurus declivis"
"903","Cololabis saira"
"904","Decapterus maruadsi"
"905","Makaira indica"
"906","Auxis thazard, A. rochei"
"907","Istiophorus platypterus"
"908","Euthynnus affinis"
"909","Thunnus tonggol"
"910","Scomberomorus commerson"
"911","Sarda orientalis"
"912","Tetrapturus audax"
"913","Tetrapturus angustirostris"
"914","Acanthocybium solandri"
"915","Gymnosarda unicolor"
"916","Scomberomorus lineolatus"
"917","Sarda sarda"
"918","Orcynopsis unicolor"
"919","Tetrapturus belone"
"920","Euthynnus lineatus"
"921","Sarda chiliensis"
"922","Scomberomorus sierra"
"923","Scomberomorus guttatus"
"924","Auxis thazard"
"925","Euthynnus alletteratus"
"926","Tetrapturus pfluegeri"
"927","Scomberomorus tritor"
"928","Thunnus atlanticus"
"929","Scomberomorus regalis"
"930","Scomberomorus brasiliensis"
"931","Gasterochisma melampus"
"932","Allothunnus fallai"
"933","Macrourus berglax"
"934","Coryphaenoides rupestris"
"935","Gadiculus argenteus"
"936","Brosme brosme"
"937","Molva molva"
"938","Molva dypterygia"
"939","Phycis phycis"
"940","Phycis blennoides"
"941","Pollachius pollachius"
"942","Trisopterus luscus"
"943","Eleginus navaga"
"944","Boreogadus saida"
"945","Trisopterus minutus"
"946","Merluccius bilinearis"
"947","Urophycis chuss"
"948","Microgadus tomcod"
"949","Merluccius albidus"
"950","Gadus ogac"
"951","Pseudophycis bachus"
"952","Mora moro"
"953","Lepidorhynchus denticulatus"
"954","Salilota australis"
"955","Urophycis brasiliensis"
"956","Antimora rostrata"
"957","Macrourus carinatus"
"958","Coelorinchus chilensis"
"959","Eleginus gracilis"
"960","Merluccius capensis, M.paradoxus"
"961","Merluccius senegalensis"
"962","Merluccius polli"
"963","Macrourus whitsoni"
"964","Bregmaceros mcclellandi"
"965","Pleuronectidae"
"966","Pectinidae"
"967","Anarhichas spp"
"968","Haliotis spp"
"969","Engraulidae"
"970","Sciaenidae"
"971","Lethrinidae"
