"","ohi_rgn","species","prop","rgn_typ","rgn_nam","stockid","tsn","commonname","areaid","stocklong.x","region","inmyersdb","myersstockid","OHI_name","FAO","check","assessid","stocklong.y","tsid","tsyear","tsvalue"
"54",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1977,2.38
"55",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1978,2.05
"56",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1979,2.7
"57",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1980,2.4
"58",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1981,2.26
"59",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1982,2.34
"60",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1983,2.07
"61",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1984,1.75
"62",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1985,1.36
"63",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1986,4.05
"64",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1987,5.37
"65",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1988,4.35
"66",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1989,3.04
"67",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1990,2.53
"68",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1991,2.87
"69",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1992,2.2
"70",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1993,1.6
"71",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1994,0.98
"72",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1995,0.762
"73",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1996,0.932
"74",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1997,0.944
"75",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1998,0.83
"76",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1999,0.69
"77",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",2000,0.512
"78",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",2001,0.417
"79",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",2002,0.476
"80",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",2003,0.831
"81",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",2004,1.08
"82",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",2005,1.2
"83",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1956,1.89
"84",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1957,1.54
"85",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1958,1.37
"86",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1959,1.27
"87",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1960,1.1
"88",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1961,0.979
"89",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1962,1.11
"90",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1963,1.9
"91",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1964,2.25
"92",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1965,2.26
"93",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1966,1.96
"94",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1967,1.71
"95",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1968,1.39
"96",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1969,1.29
"97",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODWCVANI",164711,"Pacific cod","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast",1,"PCOWCVANI","Canada",67,"","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island","BdivBmsytouse-dimensionless",1970,1.6
